"","entry_number","@_fa","@seq","author_url","authid","orcid","authname","surname","given_name","initials","afid.@_fa","afid"
"153",44,"true","2","https://api.elsevier.com/content/author/author_id/12140006700","12140006700",NA,"Correia A.","Correia","Antónia","A.","true","60002144"
"154",44,"true","3","https://api.elsevier.com/content/author/author_id/13609216700","13609216700",NA,"Ribeiro R.","Ribeiro","Ricardo","R.","true","60028300"
"155",44,"true","4","https://api.elsevier.com/content/author/author_id/15041642100","15041642100",NA,"Batista F.","Batista","Fernando","F.","true","60028300"
"156",45,"true","1","https://api.elsevier.com/content/author/author_id/57213156462","57213156462",NA,"Seocanac M.","Seocanac","Marijana","M.","true","60068809"
"157",45,"true","2","https://api.elsevier.com/content/author/author_id/55734921100","55734921100",NA,"Dimitrovski D.","Dimitrovski","Darko","D.","true","60068809"
"158",46,"true","1","https://api.elsevier.com/content/author/author_id/56534389200","56534389200",NA,"Rahimi R.","Rahimi","Roya","R.","true","60007173"
"159",46,"true","2","https://api.elsevier.com/content/author/author_id/57527841900","57527841900",NA,"Thelwall M.","Thelwall","Mike","M.","true","60007173"
"160",46,"true","3","https://api.elsevier.com/content/author/author_id/6602197423","6602197423",NA,"Okumus F.","Okumus","Fevzi","F.","true","60083525"
"161",46,"true","4","https://api.elsevier.com/content/author/author_id/55224657700","55224657700",NA,"Bilgihan A.","Bilgihan","Anil","A.","true","60017606"
"162",47,"true","1","https://api.elsevier.com/content/author/author_id/57226113066","57226113066","0000-0001-9448-5739","Stürmer L.","Stürmer","Lina","L.","true","60025988"
"163",47,"true","2","https://api.elsevier.com/content/author/author_id/12760644200","12760644200","0000-0002-3898-846X","Einwiller S.","Einwiller","Sabine","S.","true","60025988"
"164",48,"true","1","https://api.elsevier.com/content/author/author_id/57953789300","57953789300",NA,"Xiao L.","Xiao","Lin","L.","true","60021666"
"165",48,"true","2","https://api.elsevier.com/content/author/author_id/57953561800","57953561800",NA,"Li X.","Li","Xiaofeng","X.","true","60021666"
"166",48,"true","3","https://api.elsevier.com/content/author/author_id/57857750500","57857750500",NA,"Zhang Y.","Zhang","Yucheng","Y.","true","60032389"
"167",49,"true","1","https://api.elsevier.com/content/author/author_id/57199196408","57199196408",NA,"Wang F.","Wang","Fei","F.","true","60006019"
"168",49,"true","2","https://api.elsevier.com/content/author/author_id/57825432700","57825432700",NA,"Xu H.","Xu","Haifeng","H.","true","60123369"
"169",49,"true","3","https://api.elsevier.com/content/author/author_id/57925236600","57925236600","0000-0002-1977-5362","Hou R.","Hou","Ronglin","R.","true","60006019"
"170",49,"true","4","https://api.elsevier.com/content/author/author_id/56006353900","56006353900","0000-0001-7735-2192","Zhu Z.","Zhu","Zhen","Z.","true","60006019"
"171",50,"true","1","https://api.elsevier.com/content/author/author_id/58032784500","58032784500","0000-0002-4796-1189","Li X.","Li","Xinwei","X.","true","60170149"
"172",50,"true","2","https://api.elsevier.com/content/author/author_id/57745054600","57745054600","0000-0003-3455-7731","Xu M.","Xu","Mao","M.","true","60170149"
"173",50,"true","3","https://api.elsevier.com/content/author/author_id/57744758800","57744758800","0000-0003-0878-1465","Zeng W.","Zeng","Wenjuan","W.","true","60170457"
"174",50,"true","4","https://api.elsevier.com/content/author/author_id/35304027000","35304027000","0000-0001-6174-0326","Tse Y.K.","Tse","Ying Kei","Y.K.","true","60170149"
"175",50,"true","5","https://api.elsevier.com/content/author/author_id/55520514300","55520514300",NA,"Chan H.K.","Chan","Hing Kai","H.K.","true","60173004"
"176",51,"true","1","https://api.elsevier.com/content/author/author_id/57895551700","57895551700","0000-0002-9364-8812","Wu J.","Wu","Jie","J.","true","60004538"
"177",51,"true","2","https://api.elsevier.com/content/author/author_id/14830836200","14830836200","0000-0002-8053-0364","Zhao N.","Zhao","Narisa","N.","true","60004538"
"178",52,"true","1","https://api.elsevier.com/content/author/author_id/57223685591","57223685591","0000-0003-4041-5924","Pham T.","Pham","Thuy","T.","true","60011019"
"179",52,"true","2","https://api.elsevier.com/content/author/author_id/57193394284","57193394284",NA,"Mathmann F.","Mathmann","Frank","F.","true","60011019"
"180",52,"true","3","https://api.elsevier.com/content/author/author_id/57822893000","57822893000","0000-0002-8300-102X","Jin H.S.","Jin","Hyun Seung","H.S.","true","60011019"
"181",52,"true","4","https://api.elsevier.com/content/author/author_id/57225941604","57225941604",NA,"Higgins E.T.","Higgins","E. Tory","E.T.","true","60030162"
"182",53,"true","1","https://api.elsevier.com/content/author/author_id/57221999290","57221999290","0000-0002-8457-9456","Saran S.M.","Saran","Saman Mirzaie","S.M.","true","60032873"
"183",53,"true","2","https://api.elsevier.com/content/author/author_id/55270251400","55270251400","0000-0001-8875-0006","Shokouhyar S.","Shokouhyar","Sajjad","S.","true","60032873"
