"","entry_number","@_fa","affiliation_url","afid","affilname","affiliation_city","affiliation_country","continent"
"184",84,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60107184","60107184","NYU Shanghai","Shanghai","China","Asia"
"185",86,NA,NA,NA,NA,NA,NA,NA
"186",86,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116537","60116537","Wake Forest School of Business","Winston Salem","United States","Americas"
"187",87,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60011074","60011074","Lingnan University, Hong Kong","Hong Kong","Hong Kong","Asia"
"188",88,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116111","60116111","Joseph M. Katz Graduate School of Business","Pittsburgh","United States","Americas"
"189",90,NA,NA,NA,NA,NA,NA,NA
"190",90,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60117649","60117649","TUM School of Management, Munich","Munich","Germany","Europe"
"191",90,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60029616","60029616","Aarhus Universitet","Aarhus","Denmark","Europe"
"192",91,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60109000","60109000","IBS Hyderabad","Hyderabad","India","Asia"
"193",93,NA,NA,NA,NA,NA,NA,NA
"194",93,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60162124","60162124","Kent Business School","Canterbury","United Kingdom","Europe"
"195",93,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60106360","60106360","NUS Business School","Singapore City","Singapore","Asia"
"196",93,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105822","60105822","Henley Business School","Reading","United Kingdom","Europe"
"197",93,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028218","60028218","Alma Mater Studiorum Università di Bologna","Bologna","Italy","Europe"
"198",94,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032607","60032607","University of the Sunshine Coast","Sippy Downs","Australia","Oceania"
"199",95,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60111747","60111747","University of South-Eastern Norway","Kongsberg","Norway","Europe"
"200",95,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60068730","60068730","OsloMet – storbyuniversitetet","Oslo","Norway","Europe"
"201",95,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032706","60032706","Miami University","Oxford","United States","Americas"
"202",95,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60029157","60029157","Universiti Malaya","Kuala Lumpur","Malaysia","Asia"
"203",95,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007996","60007996","Handelshøyskolen BI","Oslo","Norway","Europe"
"204",96,"true","https://api.elsevier.com/content/affiliation/affiliation_id/127999969","127999969","Otomoto KLIK",NA,"Poland","Europe"
"205",97,"true","https://api.elsevier.com/content/affiliation/affiliation_id/126769423","126769423","Adana Alparslan Turkes Science and Technology University","Adana","Turkey","Asia"
"206",98,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105080","60105080","Mid Sweden University, Östersund","Ostersund","Sweden","Europe"
"207",98,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60022958","60022958","Mittuniversitetet",NA,"Sweden","Europe"
"208",99,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60176025","60176025","UCL School of Management","London","United Kingdom","Europe"
"209",99,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116494","60116494","UCI Paul Merage School of Business","Irvine","United States","Americas"
