"citing_art";"scopus_id"
"SCOPUS_ID:85071937753";"85008044987"
"SCOPUS_ID:85091634199";"28044445101"
"SCOPUS_ID:85116026520";"34247480179"
"SCOPUS_ID:84979529977";"37368865"
"SCOPUS_ID:85100059556";"35227452"
"SCOPUS_ID:85071944121";"343468534"
"SCOPUS_ID:85151620034";"141888108"
"SCOPUS_ID:85127426396";"141888108"
"SCOPUS_ID:85120872880";"141888108"
"SCOPUS_ID:85126333013";"141888108"
"SCOPUS_ID:85116481460";"141888108"
"SCOPUS_ID:85091634199";"141888108"
"SCOPUS_ID:85141511083";"77953711904"
"SCOPUS_ID:85120872880";"77953711904"
"SCOPUS_ID:85089499201";"77953711904"
"SCOPUS_ID:85111091672";"77953711904"
"SCOPUS_ID:85143324979";"36248939699"
"SCOPUS_ID:85167334948";"84984985889"
"SCOPUS_ID:85122507035";"84984985889"
"SCOPUS_ID:85138684672";"84984985889"
"SCOPUS_ID:85117069469";"84984985889"
"SCOPUS_ID:85136458993";"33645708913"
"SCOPUS_ID:85140003141";"77955687076"
"SCOPUS_ID:85116363679";"77955687076"
"SCOPUS_ID:85143761358";"84859868870"
"SCOPUS_ID:85109633827";"84859868870"
"SCOPUS_ID:85116481460";"84859868870"
"SCOPUS_ID:85091434156";"84859868870"
"SCOPUS_ID:85031497817";"31381525"
"SCOPUS_ID:84873287978";"391884"
"SCOPUS_ID:85101739989";"85091129687"
"SCOPUS_ID:85091434156";"34547179995"
"SCOPUS_ID:85116363679";"84884114317"
"SCOPUS_ID:85060661202";"36011963"
"SCOPUS_ID:85141511083";"85044542379"
"SCOPUS_ID:85126047472";"85044542379"
"SCOPUS_ID:85109633827";"85044542379"
"SCOPUS_ID:85159489905";"58149438731"
"SCOPUS_ID:85131319256";"58149438731"
"SCOPUS_ID:84887334076";"58149438731"
"SCOPUS_ID:85118220280";"84961376850"
"SCOPUS_ID:85090731774";"84961376850"
"SCOPUS_ID:85077710168";"84961376850"
"SCOPUS_ID:85083648310";"84961376850"
"SCOPUS_ID:85063814803";"84961376850"
"SCOPUS_ID:85125167037";"85030321143"
"SCOPUS_ID:85150498750";"48449095896"
"SCOPUS_ID:85126476246";"48449095896"
"SCOPUS_ID:85136908234";"48449095896"
"SCOPUS_ID:85083798336";"48449095896"
"SCOPUS_ID:85070922144";"48449095896"
"SCOPUS_ID:85047658500";"48449095896"
"SCOPUS_ID:85017215318";"48449095896"
"SCOPUS_ID:85008145276";"48449095896"
"SCOPUS_ID:85027195392";"48449095896"
"SCOPUS_ID:84979529977";"48449095896"
"SCOPUS_ID:84969884848";"48449095896"
"SCOPUS_ID:84861707692";"48449095896"
"SCOPUS_ID:85045389535";"84896690513"
"SCOPUS_ID:85149566147";"30548125"
"SCOPUS_ID:85153032773";"30548125"
"SCOPUS_ID:85087053077";"30548125"
"SCOPUS_ID:85100868810";"30548125"
"SCOPUS_ID:85052138805";"30548125"
"SCOPUS_ID:85143761358";"84977601395"
"SCOPUS_ID:85122333187";"17133178"
"SCOPUS_ID:85163206315";"45549117987"
"SCOPUS_ID:85117124447";"45549117987"
"SCOPUS_ID:85065283005";"28600665"
"SCOPUS_ID:85137626292";"85043740534"
"SCOPUS_ID:85148341584";"84890543083"
"SCOPUS_ID:85141511083";"77957553895"
"SCOPUS_ID:85150089813";"77957553895"
"SCOPUS_ID:85053894401";"77957553895"
"SCOPUS_ID:85148341584";"347883257"
"SCOPUS_ID:85119271011";"58149412516"
"SCOPUS_ID:85140003141";"34548107817"
"SCOPUS_ID:85060562698";"38549086633"
"SCOPUS_ID:85102463024";"84989113324"
"SCOPUS_ID:85060661202";"84989113324"
"SCOPUS_ID:85094632972";"36811662"
"SCOPUS_ID:85061812010";"73449149291"
"SCOPUS_ID:85146949978";"34548184227"
"SCOPUS_ID:85150855178";"68549133155"
"SCOPUS_ID:85058647683";"68549133155"
"SCOPUS_ID:85081111303";"84892702170"
"SCOPUS_ID:85060562698";"84892702170"
"SCOPUS_ID:85130623788";"2442796"
"SCOPUS_ID:85116438673";"2442796"
"SCOPUS_ID:85055277517";"2442796"
"SCOPUS_ID:85031497817";"2442796"
"SCOPUS_ID:85109761157";"84922433390"
"SCOPUS_ID:85071915138";"84857855190"
"SCOPUS_ID:85044845432";"17244368371"
"SCOPUS_ID:85109633827";"8146"
"SCOPUS_ID:85121141262";"84862294866"
"SCOPUS_ID:85119271011";"12244305149"
"SCOPUS_ID:85136458993";"12244305149"
"SCOPUS_ID:85104394128";"12244305149"
"SCOPUS_ID:85101480021";"12244305149"
"SCOPUS_ID:85073826575";"12244305149"
"SCOPUS_ID:85055277517";"12244305149"
"SCOPUS_ID:85047658500";"12244305149"
"SCOPUS_ID:84969884848";"12244305149"
"SCOPUS_ID:85017727085";"12244305149"
"SCOPUS_ID:84861707692";"12244305149"
"SCOPUS_ID:84861665218";"12244305149"
"SCOPUS_ID:80855129394";"12244305149"
